bias,boost,dist,score
0.0,0.0,0.0,5.800658755363616
0.0,0.0,0.1,5.800658755363616
0.0,0.0,0.2,5.800658755363616
0.0,0.0,0.30000000000000004,5.800658755363616
0.0,0.0,0.4,5.800658755363616
0.0,0.0,0.5,5.800658755363616
0.0,0.0,0.6000000000000001,5.800658755363616
0.0,0.0,0.7000000000000001,5.800658755363616
0.0,0.0,0.8,5.800658755363616
0.0,0.0,0.9,5.800658755363616
0.0,0.0,1.0,5.800658755363616
0.0,0.0,1.1,5.800658755363616
0.0,0.0,1.2000000000000002,5.800658755363616
0.0,0.0,1.3,5.800658755363616
0.0,0.0,1.4000000000000001,5.800658755363616
0.0,0.0,1.5,5.800658755363616
0.0,0.0,1.6,5.800658755363616
0.0,0.0,1.7000000000000002,5.800658755363616
0.0,0.0,1.8,5.800658755363616
0.0,0.0,1.9000000000000001,5.800658755363616
0.0,0.0,2.0,5.800658755363616
0.0,0.1,0.0,2.1905473576709222
0.0,0.1,0.1,2.1905473576709222
0.0,0.1,0.2,2.1905473576709222
0.0,0.1,0.30000000000000004,2.1905473576709222
0.0,0.1,0.4,2.1905473576709222
0.0,0.1,0.5,2.1905473576709222
0.0,0.1,0.6000000000000001,2.1905473576709222
0.0,0.1,0.7000000000000001,2.1905473576709222
0.0,0.1,0.8,2.1905473576709222
0.0,0.1,0.9,2.1905473576709222
0.0,0.1,1.0,2.1905473576709222
0.0,0.1,1.1,2.1905473576709222
0.0,0.1,1.2000000000000002,2.1905473576709222
0.0,0.1,1.3,2.1905473576709222
0.0,0.1,1.4000000000000001,2.1905473576709222
0.0,0.1,1.5,2.1905473576709222
0.0,0.1,1.6,2.1905473576709222
0.0,0.1,1.7000000000000002,2.1905473576709222
0.0,0.1,1.8,2.1905473576709222
0.0,0.1,1.9000000000000001,2.1905473576709222
0.0,0.1,2.0,2.1905473576709222
0.0,0.2,0.0,1.606361540258339
0.0,0.2,0.1,1.606361540258339
0.0,0.2,0.2,1.606361540258339
